,CÓDIGO CATALOGO,CÓDIGO PROVINCIA,PROVINCIA,CÓDIGO CANTÓN,CANTÓN,CÓDIGO DISTRITO,DISTRITO,ÁREA (km2)
,160105,1,San José,101,San José,10101,Carmen,1.5
,160105,1,San José,101,San José,10102,Merced,2.2
,160105,1,San José,101,San José,10103,Hospital,3.3
,160105,1,San José,101,San José,10104,Catedral,2.4
,160105,1,San José,101,San José,10105,Zapote,2.9
,160105,1,San José,101,San José,10106,San Francisco de Dos Ríos,2.6
,160105,1,San José,101,San José,10107,Uruca,8.4
,160105,1,San José,101,San José,10108,Mata Redonda,3.7
,160105,1,San José,101,San José,10109,Pavas,9.4
,160105,1,San José,101,San José,10110,Hatillo,4.4
,160105,1,San José,101,San José,10111,San Sebastián,4.0
,160105,1,San José,102,Escazú,10201,Escazú,4.5
,160105,1,San José,102,Escazú,10202,San Antonio,17.0
,160105,1,San José,102,Escazú,10203,San Rafael,13.0
,160105,1,San José,103,Desamparados,10301,Desamparados,3.3
,160105,1,San José,103,Desamparados,10302,San Miguel,21.4
,160105,1,San José,103,Desamparados,10303,San Juan de Dios,2.9
,160105,1,San José,103,Desamparados,10304,San Rafael Arriba,3.2
,160105,1,San José,103,Desamparados,10305,San Antonio,2.1
,160105,1,San José,103,Desamparados,10306,Frailes,19.7
,160105,1,San José,103,Desamparados,10307,Patarrá,15.9
,160105,1,San José,103,Desamparados,10308,San Cristobal,25.0
,160105,1,San José,103,Desamparados,10309,Rosario,14.9
,160105,1,San José,103,Desamparados,10310,Damas,2.7
,160105,1,San José,103,Desamparados,10311,San Rafael Abajo,2.0
,160105,1,San José,103,Desamparados,10312,Gravilias,2.9
,160105,1,San José,103,Desamparados,10313,Los Guido,3.1
,160105,1,San José,104,Puriscal,10401,Santiago,34.5
,160105,1,San José,104,Puriscal,10402,Mercedes Sur,181.8
,160105,1,San José,104,Puriscal,10403,Barbacoas,18.6
,160105,1,San José,104,Puriscal,10404,Grifo Alto,26.4
,160105,1,San José,104,Puriscal,10405,San Rafael,15.5
,160105,1,San José,104,Puriscal,10406,Candelarita,26.7
,160105,1,San José,104,Puriscal,10407,Desamparaditos,7.2
,160105,1,San José,104,Puriscal,10408,San Antonio,14.6
,160105,1,San José,104,Puriscal,10409,Chires,229.7
,160105,1,San José,105,Tarrazú,10501,San Marcos,46.0
,160105,1,San José,105,Tarrazú,10502,San Lorenzo,186.3
,160105,1,San José,105,Tarrazú,10503,San Carlos,59.0
,160105,1,San José,106,Aserrí,10601,Aserrí,15.3
,160105,1,San José,106,Aserrí,10602,Tarbaca,15.3
,160105,1,San José,106,Aserrí,10603,Vuelta de Jorco,22.1
,160105,1,San José,106,Aserrí,10604,San Gabriel,11.7
,160105,1,San José,106,Aserrí,10605,Legua,81.3
,160105,1,San José,106,Aserrí,10606,Monterrey,8.3
,160105,1,San José,106,Aserrí,10607,Salitrillos,14.3
,160105,1,San José,107,Mora,10701,Colón,39.9
,160105,1,San José,107,Mora,10702,Guayabo,9.0
,160105,1,San José,107,Mora,10703,Tabarcia,40.4
,160105,1,San José,107,Mora,10704,Piedras Negras,14.9
,160105,1,San José,107,Mora,10705,Picagres,27.2
,160105,1,San José,107,Mora,10706,Jaris,5.5
,160105,1,San José,107,Mora,10707,Quitirrisí,26.6
,160105,1,San José,108,Goicoechea,10801,Guadalupe,2.4
,160105,1,San José,108,Goicoechea,10802,San Francisco,0.6
,160105,1,San José,108,Goicoechea,10803,Calle Blancos,2.4
,160105,1,San José,108,Goicoechea,10804,Mata de Plátano,7.8
,160105,1,San José,108,Goicoechea,10805,Ipís,2.5
,160105,1,San José,108,Goicoechea,10806,Rancho Redondo,13.1
,160105,1,San José,108,Goicoechea,10807,Purral,3.0
